Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
9864,"Disneyland's social media hacked with racist, insensitive posts","(Disneyland's Instagram Account Hacked With a Series of Profane, Racist Posts; 'We worked quickly to remove the reprehensible content,' a Disneyland representative said, wall street journal, 2022-07-07), (CITY &amp; STATE; Disneyland's social media hacked with anti-gay and racist posts, los angeles times, 2022-07-08)","(Disneyland's Instagram Account Hacked With a Series of Profane, Racist Posts; 'We worked quickly to remove the reprehensible content,' a Disneyland representative said, wall street journal, 2022-07-07)",1-r->1-i,1-r,1-i,Scaled Abuse_Hacking,Protective Measures,Instagram,https://www.wsj.com/business/media/disneylands-instagram-account-hacked-with-a-series-of-profane-racist-posts-11657213488,,,,,
36815,When Facebook Politics Get Extra Personal,"(Down the rabbit hole: how QAnon conspiracies thrive on Facebook, the guardian, 2020-06-25)","(Down the rabbit hole: how QAnon conspiracies thrive on Facebook, the guardian, 2020-06-25)",1-i->n-r,1-i,n-r,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.theguardian.com/technology/2020/jun/25/qanon-facebook-conspiracy-theories-algorithm,,,,,
8622,Police raid homes throughout Europe to combat online hate crime,"(Belarus 'propagandist' banned from Facebook for hate speech, bbc monitoring former soviet union, 2022-04-09), (Facebook cracks down on covert influence networks targeting Ukraine, the washington post, 2022-04-08), (Pro-Russian tweets a sign of influence campaign: Think-tank, the straits times, 2022-04-08), (Galloway's Twitter marked as Kremlin propaganda, the daily telegraph, 2022-04-07)","(Facebook cracks down on covert influence networks targeting Ukraine, the washington post, 2022-04-08)",n-r->S,n-r,S,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Facebook,https://www.washingtonpost.com/technology/2022/04/07/facebook-covert-influence-ukraine/,"허위신고, 음모론 등의 문제 해결을 위해 페이스북 보호 조치 시행",,,,
46966,One held for creating woman's fake FB profile,"(FIA busts gang hacking girls Facebook accounts, the nation, 2015-10-14)","(FIA busts gang hacking girls Facebook accounts, the nation, 2015-10-14)",n-r->n-r,n-r,n-r,Scaled Abuse_Hacking,Legal Action,Facebook,https://arynews.tv/fia-busts-gang-hacking-girls-facebook-accounts/,,,,,
1609,YouTube aims to fight fake news with links to the real thing,"(Fighting fake news is an online arms race, irish examiner, 2018-07-12)","(Fighting fake news is an online arms race, irish examiner, 2018-07-12)",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.irishexaminer.com/opinion/commentanalysis/arid-30854545.html,,,,,
8782,Russia's YouTube' still down after cyber-attack,"(Russian TV, online platforms hacked with antiwar message on Victory Day, the washington post, 2022-05-09)","(Russian TV, online platforms hacked with antiwar message on Victory Day, the washington post, 2022-05-09)",n-r->n-i,n-r,n-i,Scaled Abuse_Hacking,,"SmartTV, Yandex, Rutube",https://www.washingtonpost.com/world/2022/05/09/russia-tv-hack-victory-day-ukraine-war/,,,,,
4399,2 out of 5 Koreans cannot recognize fake news,"(Soldiers in a War on Fake News, new york times, 2018-10-10), (Gov't to unveil measures to crack down on fake news this month, the korea times, 2018-10-10), (S Korea police probe 'fake news' on North, bbc monitoring asia pacific, 2018-10-11), (Brazil battles fake news 'tsunami' amid polarized presidential election, the guardian, 2018-10-10), (Jimmy Kimmel on Trump’s op-ed: ‘He was in the fake news’, the guardian, 2018-10-11)","(Soldiers in a War on Fake News, new york times, 2018-10-10)",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.nytimes.com/2018/10/09/business/facebook-philippines-rappler-fake-news.html,,,,,
56380,Sony asks media to destroy records; Studio's lawyer calls leaked documents 'stolen' in an attempt to suppress coverage.,"(Sony demands news media delete data obtained by hackers, international new york times, 2014-12-16), (Sony warns US media not to use data from cyber hacking, irish times, 2014-12-16), (Hackers Release Emails from Account of Sony Entertainment's Michael Lynton; Threats Made to Theaters Showing Sony Movie 'The Interview', wall street journal, 2014-12-16), (Sony Demands Media Delete Data Revealed by Hackers, new york times, 2014-12-15), (Sony Tells Media Not to Use Leaked Documents; Movie Studio Hires Lawyer David Boies to Help Put a Lid on Information Spilled by Hackers, wall street journal, 2014-12-15), (Sony warns media not to use leaked data, the straits times, 2014-12-16)","(Sony demands news media delete data obtained by hackers, international new york times, 2014-12-16)",n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,Protective Measures,Sony,https://www.nytimes.com/2014/12/15/business/sony-pictures-demands-that-news-organizations-delete-stolen-data.html,,,,,
12660,Trump retweets far-right British commentator praising his attacks on Omar,"(The London police Twitter feed was hacked. Then Trump got in on the act., the washington post, 2019-07-20), (The London Police Twitter feed was hacked. Then Trump got in on the act., the washington post, 2019-07-20), (Twitter account of London's Metropolitan Police hacked, dpa international (english), 2019-07-20), (Scotland Yard's Twitter account breached in series of bizarre posts, the guardian, 2019-07-22), (‘What You Gonna Do Phone the Police?’ London Police Twitter Is Hacked, new york times, 2019-07-19), (Crackdown on illegal building after social media complaints, the times of india, 2019-07-22), (Trump’s racist tweets were not a ‘love it or leave it’ argument, the washington post, 2019-07-22), (‘He always doubles down’: Inside the political crisis caused by Trump’s racist tweets, the washington post, 2019-07-20), (Why didn’t more congressional Republicans condemn Trump’s racist tweets about the ‘Squad’? This graph explains., the washington post, 2019-07-20), (‘Racially charged’: Reuters is struggling with descriptions of Trump’s racist tweets, the washington post, 2019-07-22), (Prove the Tweets Were Racist; The media undertakes Mission Impossible in trying to categorize Trump statements., wall street journal, 2019-07-23)","(The London police Twitter feed was hacked. Then Trump got in on the act., the washington post, 2019-07-20)",n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,Remove Content,Twitter,https://www.washingtonpost.com/world/2019/07/20/london-police-twitter-feed-was-hacked-then-trump-got-act/,해킹해서 계정 이름으로 이상한 게시물 업로드 -> impersonation과 비슷한 양상,,,,
36136,Anupama Parameswaran upset with morphed photo and hacked account,"(Anupama Parameswaran's Facebook account gets hacked; the actress slams the hacker for morphing her photos, the times of india, 2020-04-13)",Anupama Parameswaran’s Facebook account gets hacked; the actress slams the hacker for morphing her photos,n-r->1-i,n-r,1-i,Scaled Abuse_Hacking,,Facebook,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/anupama-parameswarans-facebook-account-gets-hacked-the-actress-slams-the-hacker-for-morphing-her-photos/articleshow/75105063.cms,"The actress advised the hackers to use their brains for something productive. The actress initially informed her fans that her Facebook account was hacked. “Some idiot has hacked my account...just alerting,” she wrote.",,,,
