Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
12932,YouTube becomes hotbed of pirated videos,"('YouTube becomes hotbed of pirated videos', 'the korea times', '2019-09-01')","('YouTube becomes hotbed of pirated videos', 'the korea times', '2019-09-01')",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Intellectual Property,Content Removal,Youtube,https://www.koreatimes.co.kr/amp/entertainment/shows-dramas/20190901/pirated-contents-increasing-on-youtube-data
50542,Youtube takes down Shirish Kunder's debut short film 'Kriti',"('Youtube takes down Shirish Kunder's debut short film 'Kriti'', 'the times of india', '2016-07-01')","('Youtube takes down Shirish Kunder's debut short film 'Kriti'', 'the times of india', '2016-07-01')",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,,Youtube,https://mumbaimirror.indiatimes.com/entertainment/bollywood/youtube-takes-down-shirishs-debut-short/articleshow/52982535.cms
63939,Gurugram: Woman duped of rRs.r3.50 lakh online,"(37-year-old Pune woman duped of rRs.r62 lakh by online matrimonial match, the hindustan times, 2022-01-16), (62-year-old Pune woman duped of rRs.r4.4 lakh by online friend, the hindustan times, 2021-11-08)","(37-year-old Pune woman duped of rRs.r62 lakh by online matrimonial match, the hindustan times, 2022-01-16)",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online dating,https://www.hindustantimes.com/cities/pune-news/37yearold-pune-woman-duped-of-62-lakh-by-online-matrimonial-match-101642330708442.html
37173,Swathi Reddy lashes out at her fake Twitter account holder; wishes to go back to the 90s,"(Actress Swathi upset by fake social media accounts!, the times of india, 2020-05-07), (Chahatt Khanna blasts trolls slamming her for being a single mother, claims to be depressed before going off Instagram, the hindustan times, 2020-05-07), (Actress Dharsha Gupta informs fans about fake social media accounts using her name, the times of india, 2020-05-08), (Chahatt Khanna lashes out at trolls for calling her a single mother; says she is depressed before signing off Instagram, the times of india, 2020-05-09), (TV host-turned-actress Swati Reddy shares screenshot of an online impostor; says,""tired of fake, take me back to 90s', the times of india, 2020-05-06)","(Actress Swathi upset by fake social media accounts!, the times of india, 2020-05-07)",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Impersonation,,"Twitter, Facebook",https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/actress-swathi-upset-by-fake-social-media-accounts/articleshow/75568948.cms
62036,Calling 'rogue diallers' to account,"(Calling 'rogue diallers' to account, the guardian, 2004-07-10)","(Calling 'rogue diallers' to account, the guardian, 2004-07-10)",1-i->n-r,1-i,n-r,Deceptive & Fraudulent Behavior_Fraud,,Online,https://www.theguardian.com/money/2004/jul/10/scamsandfraud.jobsandmoney1
39996,YouTuber arrested for swindling Rs 36L,"(Chennai: YouTuber arrested for swindling Rs 36 lakh, the times of india, 2022-06-01)","(Chennai: YouTuber arrested for swindling Rs 36 lakh, the times of india, 2022-06-01)",1-i->n-r,1-i,n-r,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Youtube,https://timesofindia.indiatimes.com/city/chennai/chennai-youtuber-arrested-for-swindling-rs-36-lakh/articleshow/91901578.cms
12838,Isro warns against social media accounts in its chief's name,"(Fake accounts in Sivan's name: Isro warns action, the times of india, 2019-09-10), (Isro warns against social media accounts in its chairman's name, the times of india, 2019-09-10)","(Fake accounts in Sivan's name: Isro warns action, the times of india, 2019-09-10)",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Impersonation,Misinformation led to action,Twitter,https://timesofindia.indiatimes.com/times-fact-check/news/alert-fake-twitter-accounts-in-the-name-of-isro-chief-k-sivan-on-the-rise/articleshow/71042559.cms
63775,Duo lose over Rs 20L in online task frauds,"(Fitness trainer loses Rs 11L in online fraud, the times of india, 2023-07-26)","(Fitness trainer loses Rs 11L in online fraud, the times of india, 2023-07-26)",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://timesofindia.indiatimes.com/city/pune/fitness-trainer-loses-rs-11-lakh-in-online-fraud/articleshow/102120681.cms
5367,Facebook's terrible idea,"(Media companies scramble after judge rules they are liable for Facebook comments, the guardian, 2019-06-25), (They turn to Facebook and YouTube to find a cure for cancer — and get sucked into a world of bogus medicine, the washington post, 2019-06-25)","(Media companies scramble after judge rules they are liable for Facebook comments, the guardian, 2019-06-25)",1-i->1-r,1-i,1-r,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Facebook,https://www.theguardian.com/technology/2019/jun/25/media-companies-scramble-after-judge-rules-they-are-liable-for-facebook-comments
60644,Sudhir Mishra's 'Tera Kya Hoga Johnny' leaked on web,"(Mishra confident online leak won't harm 'Tera Kya Hoga Johnny', the hindustan times, 2010-01-21)","(Mishra confident online leak won't harm 'Tera Kya Hoga Johnny', the hindustan times, 2010-01-21)",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.hindustantimes.com/entertainment/online-leak-won-t-harm-tera-kya-hoga-johnny-mishra/story-aKM85NFEX8cSMeFbYqltCI.html
